Machine_ID,Timestamp,Temperature_C,Vibration_Hz,Power_Consumption_kW,Network_Latency_ms,Packet_Loss_%,Quality_Control_Defect_Rate_%,Production_Speed_units_per_hr,Predictive_Maintenance_Score,Error_Rate_%
1,2024-01-01,61.611039603615986,2.6105873869425844,5.869368259565225,27.27290523869786,2.3616172586860062,5.0456444909824745,334.5720708935783,0.4017359871464811,7.254417769566491
1,2024-01-02,55.194740045913115,2.4119188080328073,5.8838217382959,29.54306400649727,2.5731075304694686,5.94089165917769,321.7658351630383,0.46372340922551736,6.200327519855469
1,2024-01-03,56.94998887480812,2.411681811732587,5.724331342166386,29.983094114454246,2.7007381230917793,5.289381683931588,299.5296889985665,0.4134548952357941,7.7149743434340365
1,2024-01-04,59.178205207379776,3.0625274950039807,6.043511363998069,28.034322349994508,1.9859738606635462,4.925407850428773,258.3767999442291,0.6002407451116938,6.451959925117255
1,2024-01-05,68.44586805949892,2.241314155432243,5.587358582314161,25.70044908987069,2.3886663567171436,5.579489911317786,288.9788817512493,0.49423645698880786,6.249593258527449
1,2024-01-06,61.3431824251655,2.761191362703519,5.651634123272904,21.074112270218293,3.0532694196345083,4.491787648635881,236.37859658289545,0.4242422597042959,7.008498158736832
1,2024-01-07,65.5070313693831,1.9674049566996394,5.089698738871503,22.992081477717843,3.1786723741013354,4.3519107981054255,263.2553235984063,0.48103387484994053,7.979172668181049
1,2024-01-08,55.06263834177849,2.6804346639028953,6.09463306280882,28.91157913476629,2.2757428238806554,5.082293789136102,287.66622316561205,0.5724208134305455,7.937657788999036
1,2024-01-09,60.8999809180403,2.8501756938008747,6.309232083051708,21.623332991682517,2.933622480527116,5.50208835512688,272.89536162848805,0.5348904591392782,7.963876210061523
1,2024-01-10,63.970339900955715,1.8770749225486154,5.2235194110695735,27.98067139181157,2.7560165828975802,5.257394553971599,281.46330344154336,0.5046801115819051,6.780416456890561
1,2024-01-11,61.078693805974005,2.5585611329720974,6.375734150496599,22.91319436814156,2.5019499911578005,5.3884911765818915,325.96708542377087,0.5291460308243109,7.09473588627569
1,2024-01-12,59.78728308945497,2.143009269710756,5.668244653409678,25.0327577922789,2.6522126050840904,5.393620017641914,285.6761625880022,0.5309239387497916,8.495768486490313
1,2024-01-13,60.01373751869561,2.287800096602494,6.447709984657825,26.67634658078611,2.0886006429165893,4.010824575930491,262.95388305323934,0.4820382318327756,7.656463951724997
1,2024-01-14,55.44024226550863,2.8951212480881705,6.13296431055393,24.387363478758644,2.8884205021246356,5.840030487802417,263.40536353825183,0.4513344778919823,7.620477105321497
1,2024-01-15,60.51808030212562,3.064466846472168,6.507669642239366,28.90379425303129,2.6436878784776843,4.410355795775518,280.7026332368148,0.4872725347256751,8.444474344309976
